職缺名稱,公司資訊,薪資,網址,所需技能,工作經歷,公司地址
專員(大數據),東森購物_電視購物_東森得易購股份有限公司,"月薪28,000~35,000元",https://www.104.com.tw/job/6mq2z?jobsource=n104bank2,[''],不拘,新北市中和區景平路258號1樓(恕不接受郵寄)
大數據工程師,博客來數位科技股份有限公司,待遇面議,https://www.104.com.tw/job/74dad?jobsource=n104bank2,"['Java', 'Python', 'MySQL', 'hadoop', '']",3年以上,台北市南港區八德路四段768巷1弄18號B1之1(臨近松山車站、捷運松山站)
演算法資料／大數據 工程師！加入台中矽谷,皮克網路有限公司,"月薪30,000~52,000元",https://www.104.com.tw/job/4nvhg?jobsource=n104bank2,[''],不拘,台中市豐原區
產品良率工程/製程整合 數據分析 產品經理 Product Marketing,昱峰智能大數據科技股份有限公司,待遇面議,https://www.104.com.tw/job/6ta63?jobsource=n104bank2,[''],不拘,台北市信義區永吉路168號12樓之1
商業開發合作顧問,昱峰智能大數據科技股份有限公司,"論件計酬100,000元以上",https://www.104.com.tw/job/6wtgm?jobsource=n104bank2,[''],不拘,台北市信義區永吉路168號12樓之1
Senior Python Data Backend Engineer(大數據),伊諾科技有限公司,待遇面議,https://www.104.com.tw/job/6qwx5?jobsource=n104bank2,"['Linux', 'Python', '']",4年以上,台北市內湖區陽光街300號9 樓
前端設計工程師,昱峰智能大數據科技股份有限公司,"月薪35,000~60,000元",https://www.104.com.tw/job/5x5ui?jobsource=n104bank2,"['DHTML', 'HTML', 'JavaScript', 'XHTML', 'jQuery', 'Adobe Photoshop', 'Illustrator', '']",2年以上,台北市信義區永吉路168號12樓之1
T109001 大數據處理工程師,臺醫光電科技股份有限公司,"月薪26,000~50,000元",https://www.104.com.tw/job/70s5v?jobsource=n104bank2,[''],不拘,新竹縣竹北市生醫路二段6之1號4樓之1(新竹生醫園區)
PCB製程良率工程師 產品經理 Product Marketing,昱峰智能大數據科技股份有限公司,待遇面議,https://www.104.com.tw/job/6vkkm?jobsource=n104bank2,[''],不拘,台北市信義區永吉路168號12樓之1
RD全端工程師,昱峰智能大數據科技股份有限公司,待遇面議,https://www.104.com.tw/job/62za4?jobsource=n104bank2,"['Linux', 'SDLC', 'Python', 'ANSI SQL', 'RDBMS', 'DHTML', 'HTML', 'JavaScript', 'jQuery', '']",不拘,台北市信義區永吉路168號12樓之1
